comunidad,provincia,year,Tipo,numero,Textbox6,Textbox7,numero1
Andalucía,Córdoba,2019,Nº de accidentes con víctimas,1.142,Subtotal Andalucía,17.964,104.080
Andalucía,Córdoba,2019,Víctimas mortales,38,Subtotal Andalucía,304,1.755
Andalucía,Córdoba,2019,Heridos hospitalizados,156,Subtotal Andalucía,1.348,8.613
Andalucía,Córdoba,2019,Total víctimas,1.610,Subtotal Andalucía,25.575,141.113
Andalucía,Córdoba,2020,Nº de accidentes con víctimas,809,Subtotal Andalucía,12.792,72.959
Andalucía,Córdoba,2020,Víctimas mortales,14,Subtotal Andalucía,254,1.370
Andalucía,Córdoba,2020,Heridos hospitalizados,121,Subtotal Andalucía,1.139,6.681
Andalucía,Córdoba,2020,Total víctimas,1.089,Subtotal Andalucía,17.710,95.932
Andalucía,Córdoba,2021,Nº de accidentes con víctimas,993,Subtotal Andalucía,15.472,89.862
Andalucía,Córdoba,2021,Víctimas mortales,30,Subtotal Andalucía,302,1.533
Andalucía,Córdoba,2021,Heridos hospitalizados,141,Subtotal Andalucía,1.175,7.784
Andalucía,Córdoba,2021,Total víctimas,1.401,Subtotal Andalucía,21.880,119.695
Andalucía,Córdoba,2022,Nº de accidentes con víctimas,927,Subtotal Andalucía,16.696,97.916
Andalucía,Córdoba,2022,Víctimas mortales,36,Subtotal Andalucía,333,1.746
Andalucía,Córdoba,2022,Heridos hospitalizados,131,Subtotal Andalucía,1.218,8.502
Andalucía,Córdoba,2022,Total víctimas,1.314,Subtotal Andalucía,23.308,129.576
Andalucía,Granada,2011,Nº de accidentes con víctimas,1.403,Subtotal Andalucía,11.629,83.027
Andalucía,Granada,2011,Víctimas mortales,40,Subtotal Andalucía,327,2.060
Andalucía,Granada,2011,Heridos hospitalizados,267,Subtotal Andalucía,1.864,11.347
Andalucía,Granada,2011,Total víctimas,2.138,Subtotal Andalucía,17.694,117.687
Andalucía,Granada,2012,Nº de accidentes con víctimas,1.635,Subtotal Andalucía,11.648,83.115
Andalucía,Granada,2012,Víctimas mortales,43,Subtotal Andalucía,295,1.903
Andalucía,Granada,2012,Heridos hospitalizados,244,Subtotal Andalucía,1.553,10.444
Andalucía,Granada,2012,Total víctimas,2.416,Subtotal Andalucía,17.790,117.793
Andalucía,Granada,2013,Nº de accidentes con víctimas,1.820,Subtotal Andalucía,13.944,89.519
Andalucía,Granada,2013,Víctimas mortales,33,Subtotal Andalucía,283,1.680
Andalucía,Granada,2013,Heridos hospitalizados,219,Subtotal Andalucía,1.615,10.086
Andalucía,Granada,2013,Total víctimas,2.697,Subtotal Andalucía,20.940,126.400
Andalucía,Granada,2014,Nº de accidentes con víctimas,1.421,Subtotal Andalucía,14.809,91.570
Andalucía,Granada,2014,Víctimas mortales,49,Subtotal Andalucía,287,1.688
Andalucía,Granada,2014,Heridos hospitalizados,181,Subtotal Andalucía,1.345,9.574
Andalucía,Granada,2014,Total víctimas,2.186,Subtotal Andalucía,22.058,128.320
Andalucía,Granada,2015,Nº de accidentes con víctimas,1.251,Subtotal Andalucía,16.184,97.756
Andalucía,Granada,2015,Víctimas mortales,43,Subtotal Andalucía,262,1.689
Andalucía,Granada,2015,Heridos hospitalizados,172,Subtotal Andalucía,1.281,9.495
Andalucía,Granada,2015,Total víctimas,1.874,Subtotal Andalucía,24.159,136.144
Andalucía,Granada,2016,Nº de accidentes con víctimas,1.931,Subtotal Andalucía,15.577,102.362
Andalucía,Granada,2016,Víctimas mortales,27,Subtotal Andalucía,303,1.810
Andalucía,Granada,2016,Heridos hospitalizados,196,Subtotal Andalucía,1.453,9.755
Andalucía,Granada,2016,Total víctimas,2.814,Subtotal Andalucía,23.291,142.200
Andalucía,Granada,2017,Nº de accidentes con víctimas,1.839,Subtotal Andalucía,15.386,102.233
Andalucía,Granada,2017,Víctimas mortales,33,Subtotal Andalucía,305,1.830
Andalucía,Granada,2017,Heridos hospitalizados,169,Subtotal Andalucía,1.372,9.546
Andalucía,Granada,2017,Total víctimas,2.636,Subtotal Andalucía,22.608,140.992
Andalucía,Granada,2018,Nº de accidentes con víctimas,1.692,Subtotal Andalucía,16.811,102.299
Andalucía,Granada,2018,Víctimas mortales,31,Subtotal Andalucía,274,1.806
Andalucía,Granada,2018,Heridos hospitalizados,137,Subtotal Andalucía,1.284,8.935
Andalucía,Granada,2018,Total víctimas,2.420,Subtotal Andalucía,24.474,140.415
Andalucía,Granada,2019,Nº de accidentes con víctimas,1.783,Subtotal Andalucía,17.964,104.080
Andalucía,Granada,2019,Víctimas mortales,25,Subtotal Andalucía,304,1.755
Andalucía,Granada,2019,Heridos hospitalizados,131,Subtotal Andalucía,1.348,8.613
Andalucía,Granada,2019,Total víctimas,2.513,Subtotal Andalucía,25.575,141.113
Andalucía,Granada,2020,Nº de accidentes con víctimas,1.126,Subtotal Andalucía,12.792,72.959
Andalucía,Granada,2020,Víctimas mortales,35,Subtotal Andalucía,254,1.370
Andalucía,Granada,2020,Heridos hospitalizados,108,Subtotal Andalucía,1.139,6.681
Andalucía,Granada,2020,Total víctimas,1.510,Subtotal Andalucía,17.710,95.932
Andalucía,Granada,2021,Nº de accidentes con víctimas,1.416,Subtotal Andalucía,15.472,89.862
Andalucía,Granada,2021,Víctimas mortales,38,Subtotal Andalucía,302,1.533
Andalucía,Granada,2021,Heridos hospitalizados,108,Subtotal Andalucía,1.175,7.784
Andalucía,Granada,2021,Total víctimas,1.977,Subtotal Andalucía,21.880,119.695
Andalucía,Granada,2022,Nº de accidentes con víctimas,1.510,Subtotal Andalucía,16.696,97.916
Andalucía,Granada,2022,Víctimas mortales,38,Subtotal Andalucía,333,1.746
Andalucía,Granada,2022,Heridos hospitalizados,128,Subtotal Andalucía,1.218,8.502
Andalucía,Granada,2022,Total víctimas,2.071,Subtotal Andalucía,23.308,129.576
Andalucía,Huelva,2011,Nº de accidentes con víctimas,649,Subtotal Andalucía,11.629,83.027
Andalucía,Huelva,2011,Víctimas mortales,21,Subtotal Andalucía,327,2.060
Andalucía,Huelva,2011,Heridos hospitalizados,110,Subtotal Andalucía,1.864,11.347
Andalucía,Huelva,2011,Total víctimas,1.017,Subtotal Andalucía,17.694,117.687
Andalucía,Huelva,2012,Nº de accidentes con víctimas,542,Subtotal Andalucía,11.648,83.115
Andalucía,Huelva,2012,Víctimas mortales,24,Subtotal Andalucía,295,1.903
Andalucía,Huelva,2012,Heridos hospitalizados,73,Subtotal Andalucía,1.553,10.444
Andalucía,Huelva,2012,Total víctimas,852,Subtotal Andalucía,17.790,117.793
Andalucía,Huelva,2013,Nº de accidentes con víctimas,551,Subtotal Andalucía,13.944,89.519
Andalucía,Huelva,2013,Víctimas mortales,26,Subtotal Andalucía,283,1.680
Andalucía,Huelva,2013,Heridos hospitalizados,70,Subtotal Andalucía,1.615,10.086
Andalucía,Huelva,2013,Total víctimas,898,Subtotal Andalucía,20.940,126.400
Andalucía,Huelva,2014,Nº de accidentes con víctimas,624,Subtotal Andalucía,14.809,91.570
Andalucía,Huelva,2014,Víctimas mortales,19,Subtotal Andalucía,287,1.688
Andalucía,Huelva,2014,Heridos hospitalizados,67,Subtotal Andalucía,1.345,9.574
Andalucía,Huelva,2014,Total víctimas,962,Subtotal Andalucía,22.058,128.320
Andalucía,Huelva,2015,Nº de accidentes con víctimas,721,Subtotal Andalucía,16.184,97.756
Andalucía,Huelva,2015,Víctimas mortales,23,Subtotal Andalucía,262,1.689
Andalucía,Huelva,2015,Heridos hospitalizados,80,Subtotal Andalucía,1.281,9.495
Andalucía,Huelva,2015,Total víctimas,1.157,Subtotal Andalucía,24.159,136.144
Andalucía,Huelva,2016,Nº de accidentes con víctimas,644,Subtotal Andalucía,15.577,102.362
Andalucía,Huelva,2016,Víctimas mortales,19,Subtotal Andalucía,303,1.810
Andalucía,Huelva,2016,Heridos hospitalizados,92,Subtotal Andalucía,1.453,9.755
Andalucía,Huelva,2016,Total víctimas,1.006,Subtotal Andalucía,23.291,142.200
Andalucía,Huelva,2017,Nº de accidentes con víctimas,763,Subtotal Andalucía,15.386,102.233
Andalucía,Huelva,2017,Víctimas mortales,22,Subtotal Andalucía,305,1.830
Andalucía,Huelva,2017,Heridos hospitalizados,116,Subtotal Andalucía,1.372,9.546
Andalucía,Huelva,2017,Total víctimas,1.256,Subtotal Andalucía,22.608,140.992
Andalucía,Huelva,2018,Nº de accidentes con víctimas,718,Subtotal Andalucía,16.811,102.299
Andalucía,Huelva,2018,Víctimas mortales,18,Subtotal Andalucía,274,1.806
Andalucía,Huelva,2018,Heridos hospitalizados,128,Subtotal Andalucía,1.284,8.935
Andalucía,Huelva,2018,Total víctimas,1.156,Subtotal Andalucía,24.474,140.415
Andalucía,Huelva,2019,Nº de accidentes con víctimas,752,Subtotal Andalucía,17.964,104.080
Andalucía,Huelva,2019,Víctimas mortales,22,Subtotal Andalucía,304,1.755
Andalucía,Huelva,2019,Heridos hospitalizados,81,Subtotal Andalucía,1.348,8.613
Andalucía,Huelva,2019,Total víctimas,1.147,Subtotal Andalucía,25.575,141.113
Andalucía,Huelva,2020,Nº de accidentes con víctimas,509,Subtotal Andalucía,12.792,72.959
Andalucía,Huelva,2020,Víctimas mortales,23,Subtotal Andalucía,254,1.370
Andalucía,Huelva,2020,Heridos hospitalizados,70,Subtotal Andalucía,1.139,6.681
Andalucía,Huelva,2020,Total víctimas,772,Subtotal Andalucía,17.710,95.932
Andalucía,Huelva,2021,Nº de accidentes con víctimas,698,Subtotal Andalucía,15.472,89.862
Andalucía,Huelva,2021,Víctimas mortales,31,Subtotal Andalucía,302,1.533
Andalucía,Huelva,2021,Heridos hospitalizados,69,Subtotal Andalucía,1.175,7.784
Andalucía,Huelva,2021,Total víctimas,1.027,Subtotal Andalucía,21.880,119.695
Andalucía,Huelva,2022,Nº de accidentes con víctimas,685,Subtotal Andalucía,16.696,97.916
Andalucía,Huelva,2022,Víctimas mortales,24,Subtotal Andalucía,333,1.746
Andalucía,Huelva,2022,Heridos hospitalizados,65,Subtotal Andalucía,1.218,8.502
Andalucía,Huelva,2022,Total víctimas,1.024,Subtotal Andalucía,23.308,129.576
Andalucía,Jaén,2011,Nº de accidentes con víctimas,827,Subtotal Andalucía,11.629,83.027
Andalucía,Jaén,2011,Víctimas mortales,43,Subtotal Andalucía,327,2.060
Andalucía,Jaén,2011,Heridos hospitalizados,178,Subtotal Andalucía,1.864,11.347
Andalucía,Jaén,2011,Total víctimas,1.322,Subtotal Andalucía,17.694,117.687
Andalucía,Jaén,2012,Nº de accidentes con víctimas,823,Subtotal Andalucía,11.648,83.115
Andalucía,Jaén,2012,Víctimas mortales,22,Subtotal Andalucía,295,1.903
Andalucía,Jaén,2012,Heridos hospitalizados,137,Subtotal Andalucía,1.553,10.444
Andalucía,Jaén,2012,Total víctimas,1.235,Subtotal Andalucía,17.790,117.793
Andalucía,Jaén,2013,Nº de accidentes con víctimas,816,Subtotal Andalucía,13.944,89.519
Andalucía,Jaén,2013,Víctimas mortales,24,Subtotal Andalucía,283,1.680
Andalucía,Jaén,2013,Heridos hospitalizados,114,Subtotal Andalucía,1.615,10.086
Andalucía,Jaén,2013,Total víctimas,1.217,Subtotal Andalucía,20.940,126.400
Andalucía,Jaén,2014,Nº de accidentes con víctimas,1.062,Subtotal Andalucía,14.809,91.570
Andalucía,Jaén,2014,Víctimas mortales,30,Subtotal Andalucía,287,1.688
Andalucía,Jaén,2014,Heridos hospitalizados,119,Subtotal Andalucía,1.345,9.574
Andalucía,Jaén,2014,Total víctimas,1.612,Subtotal Andalucía,22.058,128.320
Andalucía,Jaén,2015,Nº de accidentes con víctimas,1.023,Subtotal Andalucía,16.184,97.756
Andalucía,Jaén,2015,Víctimas mortales,23,Subtotal Andalucía,262,1.689
Andalucía,Jaén,2015,Heridos hospitalizados,92,Subtotal Andalucía,1.281,9.495
Andalucía,Jaén,2015,Total víctimas,1.564,Subtotal Andalucía,24.159,136.144
Andalucía,Jaén,2016,Nº de accidentes con víctimas,925,Subtotal Andalucía,15.577,102.362
Andalucía,Jaén,2016,Víctimas mortales,31,Subtotal Andalucía,303,1.810
Andalucía,Jaén,2016,Heridos hospitalizados,114,Subtotal Andalucía,1.453,9.755
Andalucía,Jaén,2016,Total víctimas,1.400,Subtotal Andalucía,23.291,142.200
Andalucía,Jaén,2017,Nº de accidentes con víctimas,928,Subtotal Andalucía,15.386,102.233
Andalucía,Jaén,2017,Víctimas mortales,35,Subtotal Andalucía,305,1.830
Andalucía,Jaén,2017,Heridos hospitalizados,81,Subtotal Andalucía,1.372,9.546
Andalucía,Jaén,2017,Total víctimas,1.386,Subtotal Andalucía,22.608,140.992
Andalucía,Jaén,2018,Nº de accidentes con víctimas,855,Subtotal Andalucía,16.811,102.299
Andalucía,Jaén,2018,Víctimas mortales,31,Subtotal Andalucía,274,1.806
Andalucía,Jaén,2018,Heridos hospitalizados,92,Subtotal Andalucía,1.284,8.935
Andalucía,Jaén,2018,Total víctimas,1.335,Subtotal Andalucía,24.474,140.415
Andalucía,Jaén,2019,Nº de accidentes con víctimas,835,Subtotal Andalucía,17.964,104.080
Andalucía,Jaén,2019,Víctimas mortales,24,Subtotal Andalucía,304,1.755
Andalucía,Jaén,2019,Heridos hospitalizados,56,Subtotal Andalucía,1.348,8.613
Andalucía,Jaén,2019,Total víctimas,1.224,Subtotal Andalucía,25.575,141.113
Andalucía,Jaén,2020,Nº de accidentes con víctimas,617,Subtotal Andalucía,12.792,72.959
Andalucía,Jaén,2020,Víctimas mortales,21,Subtotal Andalucía,254,1.370
Andalucía,Jaén,2020,Heridos hospitalizados,55,Subtotal Andalucía,1.139,6.681
Andalucía,Jaén,2020,Total víctimas,849,Subtotal Andalucía,17.710,95.932
Andalucía,Jaén,2021,Nº de accidentes con víctimas,658,Subtotal Andalucía,15.472,89.862
Andalucía,Jaén,2021,Víctimas mortales,22,Subtotal Andalucía,302,1.533
Andalucía,Jaén,2021,Heridos hospitalizados,65,Subtotal Andalucía,1.175,7.784
Andalucía,Jaén,2021,Total víctimas,924,Subtotal Andalucía,21.880,119.695
Andalucía,Jaén,2022,Nº de accidentes con víctimas,796,Subtotal Andalucía,16.696,97.916
Andalucía,Jaén,2022,Víctimas mortales,22,Subtotal Andalucía,333,1.746
Andalucía,Jaén,2022,Heridos hospitalizados,70,Subtotal Andalucía,1.218,8.502
Andalucía,Jaén,2022,Total víctimas,1.121,Subtotal Andalucía,23.308,129.576
Andalucía,Málaga,2011,Nº de accidentes con víctimas,1.963,Subtotal Andalucía,11.629,83.027
Andalucía,Málaga,2011,Víctimas mortales,43,Subtotal Andalucía,327,2.060
Andalucía,Málaga,2011,Heridos hospitalizados,304,Subtotal Andalucía,1.864,11.347
Andalucía,Málaga,2011,Total víctimas,2.744,Subtotal Andalucía,17.694,117.687
Andalucía,Málaga,2012,Nº de accidentes con víctimas,1.929,Subtotal Andalucía,11.648,83.115
Andalucía,Málaga,2012,Víctimas mortales,40,Subtotal Andalucía,295,1.903
Andalucía,Málaga,2012,Heridos hospitalizados,228,Subtotal Andalucía,1.553,10.444
Andalucía,Málaga,2012,Total víctimas,2.746,Subtotal Andalucía,17.790,117.793
Andalucía,Málaga,2013,Nº de accidentes con víctimas,2.711,Subtotal Andalucía,13.944,89.519
Andalucía,Málaga,2013,Víctimas mortales,49,Subtotal Andalucía,283,1.680
Andalucía,Málaga,2013,Heridos hospitalizados,356,Subtotal Andalucía,1.615,10.086
Andalucía,Málaga,2013,Total víctimas,3.824,Subtotal Andalucía,20.940,126.400
Andalucía,Málaga,2014,Nº de accidentes con víctimas,2.579,Subtotal Andalucía,14.809,91.570
Andalucía,Málaga,2014,Víctimas mortales,40,Subtotal Andalucía,287,1.688
Andalucía,Málaga,2014,Heridos hospitalizados,265,Subtotal Andalucía,1.345,9.574
Andalucía,Málaga,2014,Total víctimas,3.570,Subtotal Andalucía,22.058,128.320
Andalucía,Málaga,2015,Nº de accidentes con víctimas,2.514,Subtotal Andalucía,16.184,97.756
Andalucía,Málaga,2015,Víctimas mortales,46,Subtotal Andalucía,262,1.689
